,0,1,2,3,4,5,6,7,8,9,10
145,145,70,158,2175,1273,184,6667,15309,4337,341,178
146,146,1038,2097,2342,2287,7710,3408,3321,2065,730,16108
147,147,8926,9390,13902,14541,10132,4072,4099,11644,8254,13280
148,102,234,148,53,189,4303,17620,12393,14740,1768,1342
149,149,3486,14053,9905,7858,18,12751,16297,59,3492,7042
150,1706,10698,150,1362,10099,2378,1574,3014,1489,4929,7651
151,151,47,5101,360,172,223,3642,2070,2037,6416,973
152,152,8923,10602,9205,7807,12734,6642,6655,4307,9490,6896
153,153,15000,1029,2873,15541,8159,948,11671,8494,1032,3516
154,154,7880,2270,8286,17268,7778,8625,6059,12931,6432,10077
155,155,5974,2682,2224,8145,8277,7940,8791,8930,10607,14647
156,446,983,143,1370,214,6989,7578,1078,156,4874,1072
157,157,178,465,918,1296,225,127,341,191,309,2358
158,158,145,1273,184,70,2175,6667,15309,4337,178,465
159,159,14160,10785,9179,4432,1721,856,1707,2846,17645,6368
160,160,6632,6847,5650,2308,1350,14643,3979,7189,13664,4004
161,161,4521,1728,2115,169,652,14282,3750,300,9066,1636
162,825,162,3297,4568,11644,77,13280,13725,137,37,14405
163,1263,1978,3225,1746,1495,1023,337,1118,405,1810,1446
164,164,15519,8396,836,384,4113,71,619,7785,3090,6287
165,165,14299,10707,947,7556,3806,909,450,1359,1413,27
166,166,770,552,1692,9283,14504,8005,8540,4930,2005,1116
167,1740,6273,13003,5738,7995,6652,167,2267,4213,6702,7651
168,168,4296,10197,17036,430,9687,275,17553,9623,8438,9791
169,169,2115,161,4521,1728,652,14282,5880,1857,6183,1720
170,170,6205,453,1221,12076,14377,6651,624,4271,13937,5010
171,277,57,171,1009,11613,251,3854,5965,1722,11041,2095
172,172,360,151,47,5101,6416,2037,973,2047,12204,223
173,173,1038,7710,2287,1699,16108,730,2065,3321,3408,2097
174,174,4557,10976,11725,9046,13686,5251,3018,9661,12303,3454
175,175,134,482,5040,3340,1929,641,2009,17048,16568,12552
176,176,1807,10429,3749,651,7443,379,5235,1184,97,3131
177,177,4513,1623,1168,17081,10292,13464,17651,17009,11354,14084
178,178,465,918,1296,157,225,127,341,191,309,2358
179,179,1366,4708,11403,1252,8439,7823,11466,16166,15132,8760
180,180,1632,8898,208,3871,534,687,1148,1508,2339,1186
181,181,4717,1786,393,5416,943,17577,717,695,12878,2921
182,182,12799,16711,3522,1720,5699,937,3826,1139,3470,1306
183,183,14288,17771,16678,640,9311,14841,282,374,10167,4942
184,184,145,158,1273,70,2175,15309,6667,4337,127,178
185,185,570,2477,13810,6302,10382,253,10321,2039,4002,8194
186,186,8775,13722,7509,8520,7757,2919,5494,4052,13505,7641
187,187,9725,2540,5388,17776,13422,12881,11155,12883,14747,5514
188,188,11103,3550,2605,13473,11251,7546,14925,631,9980,2788
189,102,234,148,53,189,4303,17620,12393,14740,1768,1342
190,190,5928,8758,9553,13179,2007,11568,15441,8806,13170,13701
191,191,127,309,178,465,918,1296,157,225,341,2358
192,11405,11349,192,1717,9,12176,1702,9119,5343,10884,5946
193,193,3297,4568,590,84,11644,13725,77,13280,137,37
194,194,13371,422,1272,3067,4010,11665,5233,10718,286,2847
195,195,17003,9134,11691,6444,12119,796,4066,2018,2048,228
196,196,323,990,2008,85,101,595,200,572,93,1544
197,197,442,3559,6443,7005,1958,7541,17635,664,876,12170
198,198,480,1604,12204,6590,10752,7801,4954,3431,794,4678
199,199,4113,71,8396,836,3665,13681,14476,384,12411,41
200,200,997,572,101,595,93,1544,8483,16736,3655,17048
201,201,8277,8930,10607,7940,8791,2224,14647,479,889,8145
202,202,4029,8055,7862,16041,115,12196,17125,10865,7569,1416
203,203,942,2885,10920,16775,16770,2349,3545,9785,17752,13169
204,204,111,302,98,51,3521,8483,85,572,3608,8261
205,205,152,10602,9205,6642,6655,7807,9490,12734,7486,5596
206,206,16609,6996,6284,362,4283,51,218,2113,16758,134
207,207,4750,15975,11955,3429,11585,15115,17406,4077,16845,17709
208,208,8898,1632,3871,2339,534,1508,1186,687,1148,10397
209,209,3800,14228,472,16602,17042,14195,916,16640,3500,10877
210,210,9834,106,16706,563,4532,5754,1042,10436,6867,12046
211,211,7534,6050,8673,223,3642,2070,14910,7294,13977,7332
212,212,7650,11562,8781,221,8099,28,390,11066,12067,4527
213,213,2193,1259,3457,2311,2791,14654,12695,9506,5870,16389
214,446,983,143,1370,214,6989,7578,1078,156,4874,1072
215,215,13041,1237,4420,2198,2199,12491,5823,7141,232,16462
216,216,2983,8199,12698,1188,8621,13200,1621,707,8218,16390
217,217,86,12230,13598,14065,896,6613,1040,711,5532,8368
218,218,2113,16758,1626,8463,9997,12552,6735,362,134,16568
219,882,219,1174,5689,804,1902,703,2337,574,329,257
220,220,3008,9468,3095,3671,15826,9244,6361,107,7141,12741
221,221,7650,11562,8781,8099,28,390,11066,212,12067,4527
222,1512,222,3194,1422,1452,7133,7298,4243,5608,8811,2719
223,223,3642,2070,17594,8921,1768,1342,10585,746,7384,9968
224,224,14761,14992,1595,10438,947,7556,10707,14299,3806,1860
225,225,178,465,918,1296,157,127,341,191,309,2358
226,226,4648,123,17321,4880,6020,15014,4126,338,519,11945
227,227,7556,947,3806,1860,10707,14299,14992,14761,14990,12286
228,228,9134,11691,6444,17003,796,12119,4066,2048,2018,12789
229,229,12066,15473,1357,9118,15807,10997,15868,10385,2997,6906
230,230,1055,17709,6982,3429,11955,2833,9710,14287,9234,9470
231,231,2165,9628,10332,11942,10392,2207,16018,11377,1906,4269
232,232,7746,17105,1864,17555,10028,9125,16320,7589,7139,707
233,233,2067,1730,3766,16749,12041,9787,16983,760,5718,11493
234,102,234,148,53,189,4303,17620,12393,14740,1768,1342
235,235,413,8062,826,2228,1851,7070,807,2935,15975,397
236,236,17003,11691,9134,6444,12119,796,4066,2018,2048,228
237,237,92,12945,4685,3906,6782,4098,5310,6865,7774,3229
238,238,737,1464,4768,9372,14723,8620,3416,2385,851,9852
239,239,7735,3610,1659,3859,1077,6055,3154,13294,2322,2959
240,240,792,13955,16146,6191,14865,6968,15472,7812,16998,15713
241,241,58,1584,3572,4955,16702,2552,2906,8384,3213,25
242,242,971,5812,11004,10540,15969,10881,10432,11268,13970,13042
243,243,1219,7839,44,9107,1323,13773,6962,388,11109,17321
244,244,1836,14280,29,119,831,15448,13953,880,263,2614
245,245,10397,3871,8898,208,1632,1875,7104,687,2339,1148
246,246,13074,5181,16869,15791,9131,1704,9589,5519,14809,14601
247,247,6124,4738,5395,12070,320,863,2761,4087,14846,284
248,248,51,16736,1391,16600,249,134,175,12552,3521,482
249,249,16600,591,712,8175,582,1544,17048,124,3902,3655
250,1377,250,3059,1255,6164,5853,1979,12484,15974,981,1161
251,251,3854,5965,11613,1722,81,2095,11041,1009,57,171
252,1629,2451,2420,1374,2298,1591,1091,252,793,2309,5709
253,253,2477,570,10382,185,13810,6302,4002,951,8194,3364
254,254,3252,3389,11803,9586,12039,11187,12232,14096,14893,17394
255,255,1011,10867,539,6659,6908,15823,10466,14729,5901,6311
256,256,1828,3471,9838,17216,1270,13406,2602,2201,13579,574
257,574,1670,329,257,2337,703,2201,5689,804,1174,1902
258,258,16920,3597,7891,13731,1297,8666,13692,6079,1766,10482
259,259,8483,712,175,9259,7329,10252,323,990,196,10991
260,260,3505,304,2006,3819,352,4793,2303,3363,1641,7962
261,261,4751,4749,1431,7591,8051,10337,408,12028,15338,9438
262,262,6021,3050,1826,9036,16197,677,11220,10765,2799,7893
263,263,13953,2614,29,4522,119,14280,15448,880,1836,831
264,264,6291,3033,46,2920,5831,16115,16629,5867,9228,9603
265,265,13084,2750,1275,377,11945,2244,5075,12054,3849,404
266,266,14391,1506,6209,1303,2510,367,1701,17052,2453,15838
267,267,5792,3953,3690,4664,541,2018,2048,17003,9134,11691
268,268,3611,11185,2131,9612,2061,7958,5061,11989,2995,7157
269,269,3630,8854,493,7446,8228,17221,10063,8251,4850,16054
270,270,3521,10991,1912,9616,5811,459,2866,4398,9957,17779
271,271,4950,4139,7168,13486,381,1637,12526,1315,10331,12556
272,272,7410,6816,12460,9091,7023,3503,2607,3314,12721,7032
273,273,8549,10255,4368,13931,1673,16925,11686,10908,1339,860
274,274,1443,2071,4917,11957,969,11568,15441,8806,409,5928
275,275,17036,430,10197,9687,168,4296,11644,4258,4020,807
276,276,1111,568,1497,1535,15974,122,981,1161,372,715
277,277,57,171,1009,11613,251,3854,5965,1722,11041,2095
278,278,14734,14743,12521,17332,6547,15657,0,3203,8785,16017
279,279,11385,11040,10950,15665,10929,10928,10951,3852,10930,10989
280,280,1123,1091,2451,252,1629,2420,2298,1591,793,1374
281,281,16122,8604,7055,7361,5435,10541,5825,2885,10920,16770
282,282,10167,17771,16678,640,9311,14841,183,374,4942,1347
283,283,3826,1139,10430,13108,13521,1306,4179,4585,3137,1524
284,284,14846,863,2761,2164,16788,4143,2541,6682,4738,6124
285,285,412,365,4398,3902,10387,8261,93,12552,13757,10858
286,286,605,13371,422,1272,3067,4010,11665,5233,10718,1871
287,287,486,1468,125,11,1140,7594,3911,90,843,1230
288,288,12454,8242,3900,1904,2819,3549,16926,3860,14909,1088
289,289,9502,39,5274,2414,496,9249,834,4861,292,10413
290,290,3802,5964,15751,10030,11980,6892,8894,10261,675,3050
291,291,5364,6538,8462,8752,3010,1645,14959,795,8336,6838
292,292,5274,9502,39,9249,301,834,17501,4861,289,10413
293,293,695,12878,943,17577,14852,5416,1899,1171,1118,623
294,294,2247,10710,1764,5593,7172,9133,5060,3360,6840,9866
295,295,4097,4258,351,11965,11821,11912,12074,12015,11810,11913
296,296,6696,10363,63,7010,6827,68,13654,9302,9947,4512
297,16419,10330,297,692,14793,14908,12139,15206,4982,378,898
298,298,1136,3390,859,10868,8619,968,391,13150,13258,14313
299,299,31,8477,7589,9125,16320,6783,707,9417,9451,4500
300,300,11878,14363,3750,9066,161,17231,4122,1636,504,1766
301,301,17501,9249,5274,292,834,16972,11073,4861,9502,39
302,302,323,204,98,51,3521,8483,85,572,3608,8261
303,303,328,6001,2428,15213,13817,14143,17561,17394,14893,14096
304,304,2006,260,3505,3819,352,4793,2303,1641,3363,7962
305,305,1207,7942,1277,6378,7141,5823,232,16462,10222,10028
306,306,8065,7462,14509,1003,1061,3251,3554,1634,13502,2554
307,307,1716,1812,1563,1137,10830,15761,17655,4174,4294,3664
308,308,1976,8732,14547,16670,4305,6808,6975,9748,3234,14381
309,309,127,191,178,465,918,1296,157,225,341,2358
310,310,9204,1261,7607,14772,1333,731,9773,14520,9419,12657
311,311,1557,697,7734,1651,8648,10669,14222,3873,16890,5239
312,312,6821,1543,5020,8981,535,6242,6012,12771,16094,7752
313,313,9057,5636,2026,11828,9566,4503,7372,4477,15207,10973
314,314,3558,2189,7385,6427,7610,8208,6446,8335,4165,988
315,315,432,5579,638,16646,6523,16274,8559,9308,7676,3168
316,316,1036,4734,15811,1536,461,9712,10536,2185,17055,6922
317,317,3996,15091,3078,8628,15902,6163,13615,4773,12190,4902
318,318,3980,1434,3037,15622,1551,16838,2044,15321,925,9771
319,319,17282,14116,3214,8143,15579,15278,17180,4215,3546,3960
320,320,12070,5395,4738,6124,247,4087,2353,2761,863,12953
321,321,12590,8617,12572,1025,2812,3293,15901,17653,15931,3894
322,8793,2606,1122,322,484,615,2046,811,776,438,11203
323,323,990,196,302,101,595,200,572,93,1544,712
324,324,7303,7401,6160,11886,2134,13161,3947,9927,7136,14482
325,325,3013,4660,3953,5272,4111,2522,541,4664,2821,10075
326,7474,326,8086,9147,10188,2669,7907,17474,7423,52,14407
327,327,9820,2014,9082,14662,14479,2167,6583,73,15652,14162
328,328,303,6001,2428,15213,13817,14143,17561,10992,17394,14893
329,574,1670,329,257,2337,703,2201,5689,804,1174,1902
330,330,629,7654,10827,5840,10249,17742,12330,6245,743,6457
331,331,2321,10299,1136,3390,10868,859,298,968,8619,391
332,332,5806,787,2042,12629,10657,2483,17604,5379,4641,6573
333,333,4478,9671,6483,7996,3821,14343,8097,5311,1027,5158
334,334,1171,835,163,2187,2548,1446,1495,10769,118,623
335,335,15975,1851,7070,10781,413,3649,9213,2228,826,3202
336,336,87,61,15493,13465,4405,6548,16391,13002,6536,1505
337,1263,1978,3225,1746,1495,1023,337,1118,405,1810,1446
338,338,226,519,11945,377,1275,2244,5846,4086,3849,12054
339,16259,339,1745,3173,5368,11356,1558,3882,16374,6241,3921
340,340,13673,11076,724,1085,9321,3218,15610,2125,2050,14535
341,341,465,918,1296,178,225,157,127,309,191,2358
342,2863,342,344,1125,623,1118,1023,2548,8048,2187,1263
343,343,5749,16654,2151,9145,1412,2052,13920,1549,1166,13048
344,2863,342,344,1125,623,1118,1023,2548,8048,2187,1263
345,345,13467,3781,3073,2025,15532,14034,2551,4607,9164,3485
346,346,358,11823,753,108,3153,12906,16195,12318,4362,11271
347,347,8850,9664,10067,5329,16456,17057,16930,12348,9620,11136
348,348,8351,2315,1018,4964,1610,6632,1600,7306,9507,15101
349,349,614,517,11203,5758,1407,1991,1151,10360,7632,11870
350,350,682,34,10922,6208,1352,12407,14959,5446,7526,6867
351,351,2762,4097,2301,11810,11913,11964,11911,11822,11856,4258
352,352,260,3505,304,2006,3819,4793,2303,3363,1641,7962
353,353,650,2628,9658,1924,620,3170,14834,8596,5715,7365
354,354,1003,1376,13417,3694,13871,5494,7641,13505,13722,8775
355,355,37,77,13280,13725,17308,9016,9175,11644,4453,14541
356,356,16595,4258,14263,13916,11913,11810,2301,4097,13584,11820
357,357,4850,5146,12961,11031,16224,5125,3628,14822,6501,6520
358,358,11823,346,3153,16195,753,12906,108,12318,4362,11271
359,359,15974,1161,981,122,715,549,7208,1170,1050,4157
360,360,172,47,151,5101,2037,6416,973,2047,12204,223
361,361,2000,776,438,1605,2046,615,811,4905,679,489
362,362,1391,134,218,12552,9957,16609,6996,6284,13757,206
363,363,900,615,2046,811,776,438,1122,322,484,8793
364,364,3473,11759,11711,1466,141,11962,3394,1602,8080,16571
365,365,412,285,93,4398,3902,10387,8261,10858,572,582
366,366,6814,14317,11357,7453,7177,7682,13142,8102,12418,2991
367,367,14391,1506,6209,1303,2510,266,1701,3659,12785,12895
368,368,8420,6049,6722,10351,11836,1698,1285,908,2096,4035
369,1714,369,449,2294,3247,13547,791,2894,3027,11906,16523
370,370,8081,17568,14822,2821,9986,8587,4968,13075,5332,7600
371,371,8224,12741,1578,3095,7141,12513,3671,411,9282,9904
372,372,981,1161,122,15974,715,4157,549,2556,1170,7208
373,373,8384,13116,11688,19,864,841,1235,2395,2721,963
374,374,5784,9311,14841,640,17771,16678,183,282,445,12242
375,375,16167,5200,1395,16595,1602,3728,5530,10886,5013,1466
376,376,7825,17108,17253,12404,6469,13139,16950,12808,17732,17582
377,377,1275,11945,2244,12054,5075,13084,2750,265,3849,404
378,378,4982,898,571,144,15206,12139,5700,1638,2218,14793
379,379,7443,2170,13985,13956,3749,10429,651,5235,1875,97
380,380,13347,11515,2792,12708,502,1449,8511,14453,2986,3020
381,381,1637,12526,13486,8076,15465,8980,1283,10331,12556,9688
382,382,1613,1917,3435,15659,2370,5277,8250,8578,5303,2162
383,2654,383,1338,9694,766,10571,5104,2356,1106,7123,3226
384,384,8396,836,760,4113,71,5080,10331,12556,3090,6287
385,1762,2032,385,6696,10363,63,13654,9302,9947,4512,14804
386,5370,1552,5737,14051,386,11705,783,73,13904,8914,7921
387,3627,387,1007,509,569,5582,6935,13082,14207,15629,12532
388,388,1219,243,44,13773,9107,1323,7839,6962,11109,1770
389,389,6442,14247,15972,8313,1426,6619,1922,12913,12201,16342
390,390,11562,8781,7650,221,8099,28,11066,212,12067,4527
391,391,3390,14313,13150,10299,1136,13258,859,10868,298,8619
392,2116,1672,4282,392,2612,4341,10841,3567,2796,14771,9222
393,393,1786,943,17577,695,12878,5416,14852,1899,1125,344
394,394,6867,12046,4089,5644,897,563,4498,14442,5526,13972
395,395,1012,10134,4466,2921,14320,6911,2924,12895,8088,3730
396,13,396,860,1339,273,6785,15346,8485,11905,8731,14059
397,397,8062,826,2228,7070,1851,807,2935,15975,235,2182
398,398,10179,3483,12275,10640,3282,4520,4836,11081,5641,12780
399,399,14886,1958,6727,6443,7005,17635,664,876,12170,197
400,400,2057,10834,11048,696,7069,14140,6859,3305,11236,1143
401,401,4831,4512,14804,9947,10455,13654,6696,10363,63,9887
402,4153,7332,402,9840,7540,11784,13977,3159,11209,2715,7686
403,403,5146,2410,15480,21,6818,5060,3360,6840,6014,8883
404,404,3849,11945,2244,377,1275,5075,12054,13084,2750,265
405,1263,1978,3225,1746,1495,1023,337,1118,405,1810,1446
406,23,406,4868,1380,7850,8621,15331,7236,3362,11554,12553
407,407,4974,12522,9010,5512,7198,11771,1946,8910,6349,9764
408,408,9438,13056,261,4751,4749,1431,7591,7038,8051,15338
409,409,274,11957,945,11568,15441,8806,5928,2830,4917,2071
410,421,3004,410,5079,1047,1893,5112,2090,4118,895,1171
411,411,12741,1578,15276,38,6361,6779,16157,9045,2013,10939
412,412,365,285,4398,3902,10387,8261,93,10858,1372,572
413,413,235,15975,1851,7070,10781,335,3649,9213,3202,13114
414,414,8133,13594,7394,8612,5442,6404,15335,12226,1178,5637
415,1456,415,5663,2616,6553,1115,5654,10901,1004,6799,15948
416,416,1231,13259,548,1930,4128,9947,4512,14804,401,4831
417,417,1040,6613,14065,13598,896,12230,86,217,711,5532
418,418,11386,10260,10930,10989,10983,3852,10928,10951,11040,10929
419,419,71,4113,7121,33,5138,4863,8396,12933,6601,2074
420,420,12108,3969,13321,4022,5227,794,6416,2037,3583,6283
421,421,3004,410,5079,1047,1893,5112,2090,4118,895,1171
422,422,13371,3067,1272,4010,11665,5233,6027,4931,8561,5782
423,423,3698,5078,6883,10380,9261,3828,11392,7073,15966,5841
424,424,2139,4225,3296,11557,17257,576,14308,17275,15846,16581
425,425,2632,931,477,5190,2319,1045,3583,12212,1390,10499
426,426,6,11220,707,8199,3732,2438,7255,2878,5891,12608
427,427,3289,7366,4698,3629,16487,6631,2148,3029,3196,1550
428,428,7016,13815,8499,13482,16883,10242,6480,5690,15186,8809
429,429,10441,666,17630,8402,17612,10683,2563,4517,8152,246
430,430,17036,275,9687,4296,10197,168,11644,5207,17121,14204
431,431,1504,1274,8708,54,9532,5430,6742,10531,9507,15101
432,432,5579,315,638,16646,6523,16274,8559,9308,7676,3168
433,433,2821,10075,325,541,11200,13314,2457,17038,17568,1094
434,434,5108,1081,3187,15394,10767,8914,13904,7921,8927,7049
435,529,7216,10342,5901,6575,435,14729,6908,10466,6311,15823
